# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://inferencex.semianalysis.com/inference/glm-5-3).
# Official API snapshot retrieved 2026-09-09; latest included benchmark date 2026-09-03; 58 rows.
# Attribution to InferenceX is required for derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,2,2026-08-19,3793.59818,128.2051282051282,3793.59818,33.08501,3760.51317,0.75327,0.50762,,0.75496,0.00615,0.00592,,0.00165,162.60162601626016,168.91891891891893,,36.57918,0.00615,0.00592,,0.00165,8.61618,2.50958,,13.83947,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,4,2026-08-19,5745.69681,104.9317943336831,5745.69681,42.82716,5702.86965,0.78381,0.47741,,0.78761,0.00707,0.00682,,0.00232,141.44271570014143,146.6275659824047,,43.34438,0.00707,0.00682,,0.00232,9.43868,3.2158,,16.06393,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,8,2026-08-19,10015.67539,69.93006993006993,10015.67539,75.65782,9940.01757,0.69493,0.43812,,0.94914,0.00997,0.00917,,0.0041,100.50251256281406,109.1703056768559,,119196.48893,0.00995,0.00916,,0.00412,8.66501,4.07659,,14.26798,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,10,2026-08-19,11956.45511,64.85084306095979,11956.45511,89.95713,11866.49798,1.66905,0.56702,,5.14986,0.01147,0.01053,,0.00629,87.1839581517001,94.9667616334283,,29.90353,0.01147,0.01053,,0.00629,13.13351,5.58311,,21.48252,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,8,1,2026-08-19,1692.82445,157.97788309636653,1692.82445,13.85457,1678.96988,1.014,0.78762,,1.06043,0.00554,0.0056,,0.00075,180.50541516245488,178.57142857142858,,23.93883,0.00554,0.0056,,0.00075,11.30674,4.77307,,14.86269,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,8,2,2026-08-19,1938.14402,138.31258644536652,1938.14402,17.0424,1921.10162,0.75879,0.4113,,1.97712,0.00585,0.0057,,0.00123,171.52658662092625,175.7469244288225,,2045870.17346,0.00583,0.00569,,0.00127,8.4797,2.44728,,13.75952,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,8,4,2026-08-19,2965.37562,123.30456226880396,2965.37562,22.80141,2942.57421,0.71308,0.41362,,0.72522,0.00622,0.00586,,0.00175,161.0305958132045,170.64846416382252,,108756.87269,0.00621,0.00586,,0.00177,9.01699,2.96714,,15.07646,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,1,2026-09-01,2777.42966,113.76564277588169,2777.42966,22.74307,2754.68659,1.7632,0.88722,,2.71889,0.00788,0.00782,,0.00164,126.90355329949239,127.8772378516624,,16.88677,0.00788,0.00782,,0.00164,14.57501,6.52289,,19.9781,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33373633743/attempts/1
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,2,2026-09-01,3033.94388,93.1098696461825,3033.94388,27.91589,3006.02798,0.9231,0.56235,,1.23257,0.00847,0.00778,,0.00308,117.9245283018868,128.53470437017995,,24.63666,0.00848,0.00778,,0.00308,10.57549,2.58902,,18.23261,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33373633743/attempts/1
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,4,2026-09-01,5184.98212,80.32128514056225,5184.98212,38.25877,5146.72335,0.93409,0.60403,,1.21461,0.01011,0.00951,,0.00525,98.81422924901186,105.04201680672269,,29.40691,0.01012,0.00952,,0.00525,12.55885,3.75445,,22.32386,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33373633743/attempts/1
