# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from https://inferencex.semianalysis.com/.
# Official API snapshot retrieved 2026-09-17; latest benchmark 2026-09-17; 82 rows.
Model,Hardware,Framework,Precision,Disaggregated,Prefill GPUs,Decode GPUs,Prefill TP,Decode TP,Prefill EP,Decode EP,Prefill DPA,Decode DPA,Concurrency,Date,P90 Interactivity (tok/s/user),Token Throughput per Chip (tok/s/chip),Run URL
GLM-5.2,gb300,dynamo-trt,fp4,true,20,16,4,16,4,16,true,true,260,2026-09-11,105.48523206751054,38046.79543,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
GLM-5.2,h200,dynamo-sglang,fp8,true,8,8,1,8,1,1,false,true,8,2026-09-15,94.7867298578199,1429.0589,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34643185284/attempts/1
GLM-5.2,h200,dynamo-sglang,fp8,true,8,8,1,8,1,1,false,true,12,2026-09-15,92.33610341643583,1463.40265,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34643185284/attempts/1
GLM-5.2,h200,dynamo-sglang,fp8,true,8,8,1,8,1,1,false,true,16,2026-09-15,90.66183136899366,1493.36226,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34643185284/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,1,2026-08-08,27.085590465872155,688.24109,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,2,2026-08-08,20.712510356255176,778.46172,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,3,2026-08-08,16.78697330871244,813.03051,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,4,2026-08-08,10.990218705352236,725.85117,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,5,2026-08-08,8.336112037345782,537.28282,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,6,2026-08-08,3.0563281273877565,415.90038,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
