round,tp_rank,name,count,total_us,percent_kernel_time,mean_us,p50_us,p90_us,max_us
profile_01,3,DSA index / top-k,1488,35335.64300000004,6.888263312147317,23.747071908602177,4.959,42.44,602.204
profile_01,3,MoE routing / sorting,4680,25824.726000000035,5.034223168149422,5.518103846153854,5.039,7.119,11.159
profile_01,3,Tensor / elementwise / indexing,2064,19697.736000000044,3.8398393435535785,9.543476744186068,4.319,17.839,118.32
profile_01,3,Norm / RoPE / KV write,1788,10827.590000000084,2.110709884520105,6.055699105145461,4.439,9.9593,13.279
profile_01,3,Quantization / cast,492,3887.105999999997,0.7577450805190571,7.900621951219506,5.279,10.9199,41.999
profile_01,3,Sampling / speculative bookkeeping,66,419.7780000000001,0.0818307281587199,6.360272727272728,4.359,11.039,49.96
profile_02,0,MoE expert GEMM,1920,155117.13000000012,30.19379125799174,80.79017187500007,70.87950000000001,115.248,495.243
profile_02,0,Communication / fused allreduce,4095,89358.53600000023,17.393778386073446,21.82137631257637,11.039,42.88759999999999,430.563
profile_02,0,Dense GEMM / linear,6000,89171.86400000009,17.35744239016045,14.861977333333348,11.439,22.52,129.0
profile_02,0,Attention / MLA,2988,84554.04399999994,16.45857652571992,28.29787282463184,14.319,69.32,74.28
profile_02,0,DSA index / top-k,1488,35559.44999999995,6.921702397078854,23.897479838709646,5.039,42.491699999999994,602.964
profile_02,0,MoE routing / sorting,4680,25843.123000000025,5.030404194021676,5.522034829059835,4.919,7.1591000000000005,12.279
profile_02,0,Tensor / elementwise / indexing,2064,19688.093000000004,3.832318005818752,9.538804748062018,4.359,17.839,125.44
profile_02,0,Norm / RoPE / KV write,1788,10124.615000000078,1.9707720989779414,5.662536353467605,4.479,9.679,12.439
profile_02,0,Quantization / cast,492,3925.468,0.7640984679250205,7.978593495934959,5.279,10.955100000000002,42.519
profile_02,0,Sampling / speculative bookkeeping,66,396.176,0.07711627623220031,6.002666666666666,4.359,11.039,20.28
profile_02,1,MoE expert GEMM,1920,149378.8870000003,29.05356946114199,77.80150364583349,69.5795,114.12800000000001,382.962
profile_02,1,Communication / fused allreduce,4095,97717.2210000004,19.00559125114695,23.862569230769328,17.039,50.75099999999999,454.082
profile_02,1,Dense GEMM / linear,6000,87763.07199999999,17.069550856107263,14.627178666666664,11.319,22.159,121.4
profile_02,1,Attention / MLA,2988,85031.24000000022,16.538220944885182,28.457576974565,14.519,69.6117,75.079
profile_02,1,DSA index / top-k,1488,35197.255000000005,6.845719053884939,23.65406922043011,4.919,41.92,606.564
profile_02,1,MoE routing / sorting,4680,25372.666000000027,4.934877537582369,5.4215098290598345,5.039,6.999,10.079
profile_02,1,Tensor / elementwise / indexing,2064,19321.484000000037,3.757947918612779,9.36118410852715,4.159,17.9597,117.48
profile_02,1,Norm / RoPE / KV write,1788,10022.159000000067,1.949268055914158,5.60523434004478,4.399,9.639,12.799
profile_02,1,Quantization / cast,492,3897.940000000007,0.7581330455713181,7.922642276422779,5.239,11.1199,42.199
profile_02,1,Sampling / speculative bookkeeping,66,447.93699999999995,0.08712187515304978,6.7869242424242415,4.2795000000000005,11.339,41.679
profile_02,2,MoE expert GEMM,1920,151429.43900000022,29.50412927824851,78.86949947916678,68.0595,114.16,397.522
profile_02,2,Communication / fused allreduce,4095,89972.30300000016,17.529976183651762,21.971258363858404,10.559,45.414999999999985,269.561
profile_02,2,Dense GEMM / linear,6000,89215.36900000049,17.382497075635705,14.869228166666748,11.439,22.279,131.2
profile_02,2,Attention / MLA,2988,85671.61700000035,16.692041389947956,28.671893239625284,14.199,70.44,75.319
profile_02,2,DSA index / top-k,1488,35476.96500000008,6.912242221011586,23.842046370967793,4.879,42.279,606.324
profile_02,2,MoE routing / sorting,4680,25774.717,5.021880735345448,5.507418162393162,5.119,7.119,10.759
profile_02,2,Tensor / elementwise / indexing,2064,19993.50300000004,3.8954836069692487,9.686774709302345,4.399,18.1473,125.8
profile_02,2,Norm / RoPE / KV write,1788,11346.06200000001,2.2106380520040276,6.345672259507836,4.559,10.159,14.559
profile_02,2,Quantization / cast,492,3950.856999999995,0.7697749952561916,8.030197154471535,5.279,11.239,44.519
profile_02,2,Sampling / speculative bookkeeping,66,417.458,0.08133646192956609,6.325121212121212,4.579000000000001,11.099499999999999,24.639
profile_02,3,MoE expert GEMM,1920,152917.03699999975,29.785869651680496,79.64429010416653,70.06,112.92,496.324
profile_02,3,Communication / fused allreduce,4095,91532.18200000038,17.82905093816271,22.352181196581288,14.199,44.22299999999999,270.321
profile_02,3,Dense GEMM / linear,6000,88845.65099999984,17.305756322002864,14.807608499999972,11.319,22.319,129.44
profile_02,3,Attention / MLA,2988,84115.36899999977,16.38437067504129,28.1510605756358,14.479,68.8,74.68
profile_02,3,DSA index / top-k,1488,35185.94100000003,6.853676168193888,23.646465725806472,4.959,41.759,607.603
profile_02,3,MoE routing / sorting,4680,25765.969000000052,5.018811566975648,5.5055489316239425,5.039,7.119,10.879
profile_02,3,Tensor / elementwise / indexing,2064,19666.77100000003,3.8307822919394643,9.52847432170544,4.279,17.947000000000003,118.44
profile_02,3,Norm / RoPE / KV write,1788,11044.218000000075,2.1512425574447027,6.176855704698029,4.439,10.119,15.239
profile_02,3,Quantization / cast,492,3893.897999999999,0.7584710019259628,7.91442682926829,5.279,10.995000000000001,41.8
profile_02,3,Sampling / speculative bookkeeping,66,420.818,0.08196882663297289,6.376030303030303,4.959,11.1195,33.919
