gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,16022,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,171.9543,native,0.0,512.94,1439.34
gfx942,304,16069,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,169.9299,native,0.0,520.57,1460.67
gfx942,304,16077,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,172.56,native,0.0,512.89,1439.11
gfx942,304,16092,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,177.0069,native,0.0,500.47,1404.23
gfx942,304,16254,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,185.4555,native,0.0,482.48,1353.45
gfx942,304,16274,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,192.7363,native,0.0,464.83,1303.89
gfx942,304,16287,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,198.4952,native,0.0,451.7,1267.05
gfx942,304,16353,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,183.343,native,0.0,491.01,1377.2
gfx942,304,16382,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,194.8852,native,0.0,462.75,1297.89
gfx942,304,16384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,186.9643,native,0.0,482.41,1353.03
gfx942,304,210,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10302,0,14.3265,opus_gemm_gfx942_wkc_512x32x16x64_1x1_16x16x16_0x0x0,0.0,107.59,737.49
gfx942,304,256,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10302,0,13.7326,opus_gemm_gfx942_wkc_512x32x16x64_1x1_16x16x16_0x0x0,0.0,136.83,820.83
gfx942,304,1024,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.7333,native,0.0,261.58,802.85
gfx942,304,15360,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,219.3584,native,0.0,513.97,1109.01
gfx942,304,15605,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,222.8334,native,0.0,514.02,1108.6
gfx942,304,16022,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,216.229,native,0.0,543.88,1172.08
gfx942,304,16069,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,228.8051,native,0.0,515.49,1110.81
gfx942,304,16077,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,217.5806,native,0.0,542.35,1168.68
gfx942,304,16092,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,218.1658,native,0.0,541.4,1166.6
gfx942,304,16254,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,223.0321,native,0.0,534.92,1152.31
gfx942,304,16274,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,213.4492,native,0.0,559.63,1205.48
