[2026-08-24 19:46:52 TP0] Decode batch, #running-req: 1, #token: 67328, token usage: 0.03, accept len: 4.62, accept rate: 0.72, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 59.77, #queue-req: 0
[2026-08-24 19:46:55 TP0] Decode batch, #running-req: 1, #token: 68672, token usage: 0.03, accept len: 5.25, accept rate: 0.85, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 67.53, #queue-req: 0
[2026-08-24 19:46:57 TP0] Decode batch, #running-req: 1, #token: 68800, token usage: 0.03, accept len: 2.75, accept rate: 0.35, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 77.10, #queue-req: 0
[2026-08-24 19:46:59 TP0] Decode batch, #running-req: 1, #token: 70656, token usage: 0.03, accept len: 4.83, accept rate: 0.77, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 76.76, #queue-req: 0
[2026-08-24 19:47:01 TP0] Decode batch, #running-req: 1, #token: 71168, token usage: 0.03, accept len: 5.15, accept rate: 0.83, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 90.67, #queue-req: 0
[2026-08-24 19:47:09 TP0] Decode batch, #running-req: 1, #token: 42048, token usage: 0.02, accept len: 4.05, accept rate: 0.61, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.64, #queue-req: 0
[2026-08-24 19:47:11 TP0] Decode batch, #running-req: 1, #token: 43584, token usage: 0.02, accept len: 5.62, accept rate: 0.93, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 107.38, #queue-req: 0
[2026-08-24 19:47:13 TP0] Decode batch, #running-req: 1, #token: 44864, token usage: 0.02, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 114.51, #queue-req: 0
[2026-08-24 19:47:17 TP0] Decode batch, #running-req: 1, #token: 49728, token usage: 0.02, accept len: 5.65, accept rate: 0.93, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.60, #queue-req: 0
[2026-08-24 19:47:20 TP0] Decode batch, #running-req: 1, #token: 51392, token usage: 0.02, accept len: 5.75, accept rate: 0.95, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 82.78, #queue-req: 0
[2026-08-24 19:47:25 TP0] Decode batch, #running-req: 1, #token: 70144, token usage: 0.03, accept len: 5.72, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 41.01, #queue-req: 0
