[2026-08-24 23:23:39 TP0] Decode batch, #running-req: 2, #token: 94464, token usage: 0.04, accept len: 5.48, accept rate: 0.56, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 205.38, #queue-req: 0
[2026-08-24 23:23:49 TP0] Decode batch, #running-req: 2, #token: 99712, token usage: 0.04, accept len: 3.84, accept rate: 0.36, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 28.81, #queue-req: 0
[2026-08-24 23:23:51 TP0] Decode batch, #running-req: 1, #token: 101504, token usage: 0.04, accept len: 5.43, accept rate: 0.55, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 149.08, #queue-req: 0
[2026-08-24 23:23:53 TP0] Decode batch, #running-req: 1, #token: 103104, token usage: 0.04, accept len: 4.05, accept rate: 0.38, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.47, #queue-req: 0
[2026-08-24 23:23:54 TP0] Decode batch, #running-req: 2, #token: 103360, token usage: 0.04, accept len: 3.53, accept rate: 0.32, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 156.90, #queue-req: 0
[2026-08-24 23:23:58 TP0] Decode batch, #running-req: 2, #token: 106048, token usage: 0.04, accept len: 4.43, accept rate: 0.43, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 82.77, #queue-req: 0
[2026-08-24 23:23:59 TP0] Decode batch, #running-req: 1, #token: 113024, token usage: 0.05, accept len: 5.75, accept rate: 0.59, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 197.72, #queue-req: 0
[2026-08-24 23:24:01 TP0] Decode batch, #running-req: 1, #token: 119040, token usage: 0.05, accept len: 7.03, accept rate: 0.75, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 172.28, #queue-req: 0
[2026-08-24 23:24:04 TP0] Decode batch, #running-req: 1, #token: 132928, token usage: 0.06, accept len: 6.18, accept rate: 0.65, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 112.37, #queue-req: 0
[2026-08-24 23:24:06 TP0] Decode batch, #running-req: 2, #token: 133312, token usage: 0.06, accept len: 6.19, accept rate: 0.65, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 215.50, #queue-req: 0
