[2026-08-24 23:52:47 TP0] Decode batch, #running-req: 1, #token: 49216, token usage: 0.02, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 74.79, #queue-req: 0
[2026-08-24 23:52:53 TP0] Decode batch, #running-req: 1, #token: 72768, token usage: 0.03, accept len: 3.62, accept rate: 0.53, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 27.47, #queue-req: 0
[2026-08-24 23:52:54 TP0] Decode batch, #running-req: 1, #token: 72960, token usage: 0.03, accept len: 4.40, accept rate: 0.68, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 132.05, #queue-req: 0
[2026-08-24 23:52:56 TP0] Decode batch, #running-req: 1, #token: 75456, token usage: 0.03, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 63.25, #queue-req: 0
[2026-08-24 23:53:06 TP0] Decode batch, #running-req: 1, #token: 64704, token usage: 0.03, accept len: 2.83, accept rate: 0.36, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 11.17, #queue-req: 0
[2026-08-24 23:53:08 TP0] Decode batch, #running-req: 1, #token: 64832, token usage: 0.03, accept len: 3.20, accept rate: 0.44, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 97.83, #queue-req: 0
[2026-08-24 23:53:10 TP0] Decode batch, #running-req: 1, #token: 66624, token usage: 0.03, accept len: 3.08, accept rate: 0.41, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 58.60, #queue-req: 0
[2026-08-24 23:53:11 TP0] Decode batch, #running-req: 1, #token: 66752, token usage: 0.03, accept len: 3.50, accept rate: 0.50, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.57, #queue-req: 0
[2026-08-24 23:53:13 TP0] Decode batch, #running-req: 1, #token: 67072, token usage: 0.03, accept len: 4.03, accept rate: 0.60, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 76.23, #queue-req: 0
[2026-08-24 23:53:15 TP0] Decode batch, #running-req: 1, #token: 69888, token usage: 0.03, accept len: 3.65, accept rate: 0.53, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 67.73, #queue-req: 0
[2026-08-24 23:53:17 TP0] Decode batch, #running-req: 1, #token: 70016, token usage: 0.03, accept len: 3.12, accept rate: 0.42, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.36, #queue-req: 0
[2026-08-24 23:53:19 TP0] Decode batch, #running-req: 1, #token: 71552, token usage: 0.03, accept len: 3.40, accept rate: 0.48, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 62.73, #queue-req: 0
[2026-08-24 23:53:21 TP0] Decode batch, #running-req: 1, #token: 77248, token usage: 0.03, accept len: 3.90, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 58.82, #queue-req: 0
[2026-08-24 23:53:23 TP0] Decode batch, #running-req: 1, #token: 77376, token usage: 0.03, accept len: 3.23, accept rate: 0.45, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.40, #queue-req: 0
[2026-08-24 23:53:25 TP0] Decode batch, #running-req: 1, #token: 81088, token usage: 0.03, accept len: 3.38, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 51.21, #queue-req: 0
[2026-08-24 23:53:28 TP0] Decode batch, #running-req: 1, #token: 83264, token usage: 0.04, accept len: 5.72, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 97.87, #queue-req: 0
[2026-08-24 23:53:35 TP0] Decode batch, #running-req: 1, #token: 47552, token usage: 0.02, accept len: 5.03, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 26.33, #queue-req: 0
[2026-08-24 23:53:37 TP0] Decode batch, #running-req: 1, #token: 47680, token usage: 0.02, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.97, #queue-req: 0
[2026-08-24 23:53:39 TP0] Decode batch, #running-req: 1, #token: 53312, token usage: 0.02, accept len: 3.48, accept rate: 0.49, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 57.51, #queue-req: 0
[2026-08-24 23:53:40 TP0] Decode batch, #running-req: 1, #token: 53440, token usage: 0.02, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.15, #queue-req: 0
[2026-08-24 23:53:42 TP0] Decode batch, #running-req: 1, #token: 54848, token usage: 0.02, accept len: 3.10, accept rate: 0.42, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 62.94, #queue-req: 0
[2026-08-24 23:53:44 TP0] Decode batch, #running-req: 1, #token: 56512, token usage: 0.02, accept len: 5.30, accept rate: 0.86, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.71, #queue-req: 0
[2026-08-24 23:53:46 TP0] Decode batch, #running-req: 1, #token: 57792, token usage: 0.02, accept len: 5.42, accept rate: 0.89, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 108.14, #queue-req: 0
[2026-08-24 23:53:48 TP0] Decode batch, #running-req: 1, #token: 60416, token usage: 0.03, accept len: 5.70, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 111.50, #queue-req: 0
[2026-08-24 23:53:50 TP0] Decode batch, #running-req: 1, #token: 61696, token usage: 0.03, accept len: 5.85, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 113.65, #queue-req: 0
[2026-08-24 23:53:52 TP0] Decode batch, #running-req: 1, #token: 63232, token usage: 0.03, accept len: 5.53, accept rate: 0.91, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.54, #queue-req: 0
[2026-08-24 23:53:55 TP0] Decode batch, #running-req: 1, #token: 64768, token usage: 0.03, accept len: 4.65, accept rate: 0.73, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 88.28, #queue-req: 0
[2026-08-24 23:54:05 TP0] Decode batch, #running-req: 1, #token: 64768, token usage: 0.03, accept len: 4.88, accept rate: 0.78, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.19, #queue-req: 0
[2026-08-24 23:54:06 TP0] Decode batch, #running-req: 1, #token: 64896, token usage: 0.03, accept len: 2.85, accept rate: 0.37, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 87.36, #queue-req: 0
[2026-08-24 23:54:08 TP0] Decode batch, #running-req: 1, #token: 66432, token usage: 0.03, accept len: 2.58, accept rate: 0.32, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 49.14, #queue-req: 0
[2026-08-24 23:54:09 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 5.10, accept rate: 0.82, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 157.36, #queue-req: 0
