[2026-08-24 22:08:08 TP0] Decode batch, #running-req: 3, #token: 1091520, token usage: 0.46, accept len: 4.18, accept rate: 0.64, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 304.62, #queue-req: 0
[2026-08-24 22:08:10 TP0] Decode batch, #running-req: 3, #token: 1024320, token usage: 0.43, accept len: 5.02, accept rate: 0.80, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 398.19, #queue-req: 0
[2026-08-24 22:08:12 TP0] Decode batch, #running-req: 1, #token: 1112704, token usage: 0.47, accept len: 5.79, accept rate: 0.96, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 287.09, #queue-req: 0
[2026-08-24 22:08:13 TP0] Decode batch, #running-req: 4, #token: 1048192, token usage: 0.44, accept len: 5.55, accept rate: 0.91, pre-allocated usage: 0.33, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 439.75, #queue-req: 0
[2026-08-24 22:08:15 TP0] Decode batch, #running-req: 2, #token: 1020736, token usage: 0.43, accept len: 5.71, accept rate: 0.94, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 434.78, #queue-req: 0
[2026-08-24 22:08:23 TP0] Decode batch, #running-req: 1, #token: 1094080, token usage: 0.46, accept len: 3.65, accept rate: 0.53, pre-allocated usage: 0.43, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 18.12, #queue-req: 0
[2026-08-24 22:08:25 TP0] Decode batch, #running-req: 2, #token: 1096576, token usage: 0.46, accept len: 5.21, accept rate: 0.84, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 201.44, #queue-req: 0
[2026-08-24 22:08:26 TP0] Decode batch, #running-req: 2, #token: 1041472, token usage: 0.44, accept len: 5.37, accept rate: 0.87, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 284.17, #queue-req: 0
[2026-08-24 22:08:28 TP0] Decode batch, #running-req: 4, #token: 1028928, token usage: 0.44, accept len: 4.96, accept rate: 0.79, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 367.67, #queue-req: 0
[2026-08-24 22:08:39 TP0] Decode batch, #running-req: 1, #token: 1079872, token usage: 0.46, accept len: 3.22, accept rate: 0.44, pre-allocated usage: 0.42, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 28.10, #queue-req: 0
[2026-08-24 22:08:40 TP0] Decode batch, #running-req: 3, #token: 1080320, token usage: 0.46, accept len: 4.71, accept rate: 0.74, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 237.56, #queue-req: 0
[2026-08-24 22:08:46 TP0] Decode batch, #running-req: 2, #token: 1077760, token usage: 0.46, accept len: 4.69, accept rate: 0.74, pre-allocated usage: 0.42, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 74.27, #queue-req: 0
[2026-08-24 22:08:47 TP0] Decode batch, #running-req: 1, #token: 1079104, token usage: 0.46, accept len: 4.64, accept rate: 0.73, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 237.43, #queue-req: 0
[2026-08-24 22:08:50 TP0] Decode batch, #running-req: 2, #token: 1080128, token usage: 0.46, accept len: 5.61, accept rate: 0.92, pre-allocated usage: 0.40, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 107.82, #queue-req: 0
[2026-08-24 22:08:51 TP0] Decode batch, #running-req: 1, #token: 1091840, token usage: 0.46, accept len: 5.92, accept rate: 0.98, pre-allocated usage: 0.43, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 203.54, #queue-req: 0
[2026-08-24 22:08:53 TP0] Decode batch, #running-req: 4, #token: 1092288, token usage: 0.46, accept len: 4.67, accept rate: 0.73, pre-allocated usage: 0.34, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 228.09, #queue-req: 0
[2026-08-24 22:08:55 TP0] Decode batch, #running-req: 2, #token: 946112, token usage: 0.40, accept len: 4.19, accept rate: 0.64, pre-allocated usage: 0.40, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 358.26, #queue-req: 0
[2026-08-24 22:09:02 TP0] Decode batch, #running-req: 1, #token: 1097792, token usage: 0.46, accept len: 2.95, accept rate: 0.39, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 15.68, #queue-req: 0
[2026-08-24 22:09:04 TP0] Decode batch, #running-req: 1, #token: 1097920, token usage: 0.46, accept len: 2.42, accept rate: 0.28, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 70.91, #queue-req: 0
[2026-08-24 22:09:10 TP0] Decode batch, #running-req: 1, #token: 1106944, token usage: 0.47, accept len: 3.42, accept rate: 0.48, pre-allocated usage: 0.45, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.76, #queue-req: 0
[2026-08-24 22:09:12 TP0] Decode batch, #running-req: 2, #token: 1109184, token usage: 0.47, accept len: 4.35, accept rate: 0.67, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 191.02, #queue-req: 0
[2026-08-24 22:09:13 TP0] Decode batch, #running-req: 1, #token: 1113024, token usage: 0.47, accept len: 3.88, accept rate: 0.58, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 172.46, #queue-req: 0
[2026-08-24 22:09:27 TP0] Decode batch, #running-req: 3, #token: 1116288, token usage: 0.47, accept len: 4.51, accept rate: 0.70, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 28.62, #queue-req: 0
[2026-08-24 22:09:28 TP0] Decode batch, #running-req: 4, #token: 1138048, token usage: 0.48, accept len: 4.68, accept rate: 0.74, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 416.93, #queue-req: 0
