# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL,Physical Chips,DP
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,10,2026-09-22,14545.1019,103.41261633919338,14545.1019,109.32806,14435.77384,0.72991,0.48066,,1.36752,0.00809,0.00677,,0.01865,123.60939431396787,147.71048744460856,,39.14957,0.00809,0.00677,,0.01865,8.34972,3.6697,,13.25942,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,16,2026-09-22,16923.34043,44.943820224719104,16923.34043,127.02012,16796.32031,1.54788,0.48269,,6.27307,0.01916,0.01182,,0.13395,52.19206680584551,84.60236886632825,,30.48466,0.01916,0.01182,,0.13395,14.70097,5.05656,,29.84443,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,24,2026-09-22,25736.54453,36.603221083455345,25736.54453,182.41792,25554.12661,1.34789,0.686,,2.52543,0.01922,0.01532,,0.02538,52.029136316337144,65.27415143603133,,21.63384,0.01922,0.01532,,0.02538,18.56959,7.18157,,34.5117,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,32,2026-09-22,29923.60044,25.933609958506224,29923.60044,202.36026,29721.24018,1.54881,0.72778,,2.6898,0.02504,0.01801,,0.03852,39.936102236421725,55.52470849528039,,20.63414,0.02504,0.01801,,0.03852,22.76796,9.35949,,39.55514,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,40,2026-09-22,32778.2858,27.35229759299781,32778.2858,241.56784,32536.71796,1.43101,0.7774,,2.33167,0.02621,0.02249,,0.02906,38.15337657382678,44.464206313917295,,15.01757,0.02621,0.02249,,0.02907,26.03291,11.47524,,43.9342,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_atom,atom,fp4,4,48,2026-09-22,34194.59068,19.376089905057157,34194.59068,230.21061,33964.38007,1.98915,0.81375,,4.0195,0.03478,0.02853,,0.03434,28.75215641173088,35.050823694356815,,14.13117,0.03478,0.02853,,0.03434,32.62667,13.62707,,61.67468,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,8,1,2026-09-22,2910.24864,211.864406779661,2910.24864,10.26552,2899.98312,1.01766,0.86476,,0.74009,0.00444,0.00442,,0.0004,223.71364653243847,225.73363431151242,,15.3566,0.00447,0.00443,,0.00038,5.56911,3.1986,,6.74411,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,8,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,8,2,2026-09-22,2940.65515,194.17475728155338,2940.65515,13.04123,2927.61392,0.79188,0.65058,,0.75624,0.0047,0.00444,,0.00207,212.31422505307856,224.71910112359552,,3405.55159,0.00471,0.00445,,0.00207,4.75807,1.96878,,7.20406,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,8,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,8,4,2026-09-22,4067.13569,179.2114695340502,4067.13569,17.03365,4050.10204,0.74544,0.48711,,0.78645,0.00512,0.00449,,0.00471,195.31249999999997,221.72949002217294,,3074.98891,0.00512,0.00451,,0.00471,4.3861,1.95466,,7.02481,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,8,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,4,2026-09-22,8257.69962,138.12154696132598,8257.69962,31.05411,8226.64551,0.73095,0.48308,,0.81034,0.00628,0.00572,,0.00354,159.23566878980893,174.52006980802793,,612.58134,0.00628,0.00573,,0.00354,5.0516,2.30096,,7.76403,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,8,2026-09-22,12626.40067,91.15770282588878,12626.40067,62.35778,12564.04289,0.76921,0.49385,,0.93569,0.00816,0.0073,,0.0042,122.54901960784314,136.79890560875515,,1313.8625,0.00816,0.00731,,0.0042,6.51537,3.2752,,11.31717,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,10,2026-09-22,15749.85941,87.79631255487269,15749.85941,72.03905,15677.82036,0.81277,0.5285,,1.11467,0.00969,0.00799,,0.02586,103.19917440660474,125.15644555694617,,2055.9754,0.00969,0.00799,,0.02585,6.61095,3.47693,,10.36674,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,12,2026-09-22,15558.73204,73.1528895391368,15558.73204,72.6835,15486.04854,0.85227,0.48434,,1.44902,0.01061,0.00827,,0.0264,94.16195856873824,120.7729468599034,,1308.8358,0.01062,0.00828,,0.0264,6.84893,3.44405,,10.89721,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,14,2026-09-22,18409.57202,62.695924764890286,18409.57202,89.1061,18320.46592,1.16369,0.53452,,2.9929,0.01253,0.00991,,0.03412,79.74481658692184,100.70493454179255,,1311.37735,0.01254,0.00993,,0.03412,7.6208,3.78059,,12.28566,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
GLM-5.2,,,mi355x,mi355x_sglang,sglang,fp4,4,16,2026-09-22,18646.35748,36.127167630057805,18646.35748,86.92399,18559.43349,2.21132,0.5125,,5.96387,0.01893,0.01289,,0.03426,52.77044854881266,77.27975270479135,,390.14293,0.01895,0.01294,,0.03426,11.89337,5.05258,,21.2403,false,,,mtp,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1,4,
